,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
547,547,EmergenSee,"Media and Entertainment, Video, Privacy and Security","San Francisco, California, United States",9/7/12,3/15/13,1000000,Seed,1500000,Operating
550,550,Namo Media,"Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",2/11/13,3/18/13,1900000,Seed,1900000,Was Acquired
551,551,Divshot,Internet Services,"Santa Monica, California, United States",4/15/12,3/19/13,1100000,Seed,1180000,Was Acquired
552,552,Kapture,"Apps, Media and Entertainment, Navigation and Mapping, Data and Analytics, Software, Internet Services, Content and Publishing, Mobile","Brooklyn, New York, United States",1/1/12,3/22/13,1500000,Seed,1500000,Operating
553,553,Sqeeqee,"Apps, Commerce and Shopping, Media and Entertainment, Software, Internet Services, Financial Services","Orange, California, United States",7/20/12,3/22/13,1750000,Seed,1750000,Operating
556,556,Simpler,Software,"San Francisco, California, United States",1/1/12,3/26/13,1200000,Seed,1200000,Operating
567,567,Pinewood Social,"Food and Beverage, Community and Lifestyle","Nashville, Tennessee, United States",1/1/12,4/1/13,1150000,Seed,1150000,Operating
582,582,Grand St.,"Hardware, Software","New York, New York, United States",1/1/12,4/3/13,1300000,Seed,1300000,Was Acquired
587,587,Glider,"Information Technology, Data and Analytics, Software, Privacy and Security, Financial Services","Portland, Oregon, United States",1/1/12,4/9/13,1000000,Seed,1350000,Was Acquired
595,595,EZDOCTOR,"Information Technology, Software, Health Care, Internet Services","Fort Lauderdale, Florida, United States",1/1/13,4/15/13,2500000,Seed,2500000,Operating
597,597,"Confac USA, Inc.",,"Apache Junction, Arizona, United States",2/27/13,4/15/13,2000000,Seed,2000000,Operating
605,605,klooma,"Media and Entertainment, Music and Audio, Events, Software, Internet Services, Video, Content and Publishing, Mobile","Los Angeles, California, United States",4/23/13,4/23/13,1500000,Seed,1500000,Operating
608,608,Pict,"Commerce and Shopping, Media and Entertainment, Data and Analytics, Software, Content and Publishing","San Francisco, California, United States",2/3/12,4/26/13,1400000,Seed,1400000,Was Acquired
649,649,Opsmatic,"Information Technology, Software","San Francisco, California, United States",3/1/13,5/15/13,2500000,Seed,2500000,Was Acquired
650,650,Briteseed,,"Chicago, Illinois, United States",5/23/13,5/15/13,2000000,Seed,2000000,Operating
653,653,Adomik,"Data and Analytics, Sales and Marketing, Advertising","New York, New York, United States",9/14/12,5/17/13,1300000,Seed,1300000,Operating
657,657,App.io,"Platforms, Software, Internet Services, Mobile","San Francisco, California, United States",4/1/12,5/21/13,1075000,Seed,1195000,Operating
658,658,popexpert,"Media and Entertainment, Music and Audio, Health Care, Professional Services, Education","San Francisco, California, United States",1/1/12,5/21/13,2000000,Seed,2500000,Operating
661,661,Blueunicorn,"Professional Services, Internet Services","Redwood City, California, United States",10/28/13,5/21/13,1500000,Seed,1500000,Closed
662,662,Fandium,"Gaming, Platforms, Software, Sports, Mobile","Chicago, Illinois, United States",1/1/12,5/23/13,1250000,Seed,1250000,Closed
664,664,DoYouRemember,"Commerce and Shopping, Media and Entertainment, Food and Beverage, Internet Services, Content and Publishing","Miami, Florida, United States",1/1/12,5/28/13,1250000,Seed,1250000,Operating
674,674,Fleur Du Mal,"Commerce and Shopping, Clothing and Apparel, Consumer Goods, Design","New York, New York, United States",1/1/12,6/1/13,1500000,Seed,1500000,Operating
681,681,Poptip,"Data and Analytics, Community and Lifestyle, Software, Financial Services, Design","New York, New York, United States",1/1/12,6/1/13,1300000,Seed,2410000,Was Acquired
683,683,ClearView Diagnostics,,"Piscataway, New Jersey, United States",7/15/12,6/1/13,3000000,Seed,3000000,Operating
690,690,Major League Fantasy,"Gaming, Sports","Walnut Creek, California, United States",1/1/13,6/1/13,1500000,Seed,1500000,Closed
691,691,Screenhero,Software,"Mountain View, California, United States",1/1/13,6/1/13,1800000,Seed,1800000,Was Acquired
693,693,Unity Physician Partners,Health Care,"Nashville, Tennessee, United States",1/1/13,6/1/13,6006000,Seed,6006000,Operating
714,714,Hatch,"Commerce and Shopping, Community and Lifestyle","New York, New York, United States",1/1/12,6/4/13,1650000,Seed,1650000,Operating
719,719,Cuyana,"Commerce and Shopping, Clothing and Apparel, Design","San Francisco, California, United States",1/1/13,6/6/13,1700000,Seed,1700000,Operating
723,723,Compass Quality Insight Inc.,Software,"San Francisco, California, United States",1/1/12,6/11/13,2000000,Seed,2000000,Closed
730,730,TRELYS,"Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States",1/1/12,6/13/13,2500000,Seed,3750000,Operating
736,736,Webinfinity,"Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Content and Publishing","Huntington, New York, United States",1/1/12,6/17/13,1500000,Seed,1500000,Operating
737,737,Offerboard,"Privacy and Security, Financial Services","Princeton, New Jersey, United States",6/12/13,6/17/13,1250000,Seed,1250000,Was Acquired
738,738,Arctic Island LLC,"Professional Services, Financial Services","Las Vegas, Nevada, United States",3/21/12,6/18/13,1400000,Seed,1600000,Operating
743,743,Combatant Gentlemen,"Hardware, Commerce and Shopping, Software, Clothing and Apparel, Transportation, Design","Irvine, California, United States",3/1/12,6/19/13,1840000,Seed,1840000,Operating
753,753,Spectra7 Microsystems,"Manufacturing, Science and Engineering, Hardware, Information Technology, Software","Palo Alto, California, United States",1/1/12,6/26/13,97772,Seed,11097772,IPO
755,755,Propeller,Mobile,"San Francisco, California, United States",1/1/13,6/27/13,1250000,Seed,1250000,Was Acquired
762,762,Quake Labs,"Software, Internet Services","Mountain View, California, United States",1/1/12,7/1/13,1901000,Seed,2901000,Operating
763,763,Reactor Labs,"Science and Engineering, Data and Analytics, Software, Internet Services, Artificial Intelligence, Mobile","Boulder, Colorado, United States",1/1/12,7/1/13,1100000,Seed,1850000,Operating
778,778,Guide,"Apps, Media and Entertainment, Software","Miami, Florida, United States",8/1/12,7/2/13,1500000,Seed,2500000,Closed
797,797,"Mind Pirate, Inc.","Hardware, Consumer Electronics, Software, Internet Services, Mobile","Menlo Park, California, United States",1/1/12,7/11/13,2500000,Seed,2500000,Closed
800,800,Umano,"Media and Entertainment, Music and Audio, Content and Publishing, Mobile","San Francisco, California, United States",9/7/12,7/11/13,1500000,Seed,1500000,Was Acquired
813,813,Union Bay Networks,"Hardware, Information Technology, Data and Analytics, Software, Internet Services, Design","Seattle, Washington, United States",1/1/13,7/15/13,1850000,Seed,1850000,Was Acquired
817,817,Bountysource,"Software, Financial Services","San Francisco, California, United States",8/22/12,7/17/13,1100000,Seed,1100000,Operating
819,819,Stayful,"Travel and Tourism, Media and Entertainment, Events, Internet Services","San Francisco, California, United States",1/1/13,7/17/13,2400000,Seed,2400000,Operating
824,824,Deepclass,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Consumer Goods, Design","New York, New York, United States",1/10/13,7/19/13,4350000,Seed,4350000,Operating
833,833,BizAnytime,"Hardware, Information Technology, Software, Internet Services, Messaging and Telecommunications","Tucson, Arizona, United States",1/1/13,7/23/13,2000000,Seed,2000000,Operating
841,841,Happy Studio,"Gaming, Internet Services","United States, North America",1/1/12,8/1/13,1950000,Seed,1950000,Operating
842,842,Lettuce,"Commerce and Shopping, Information Technology, Software, Sales and Marketing","Venice, California, United States",1/1/12,8/1/13,1000000,Seed,3100000,Was Acquired
853,853,DooBop,"Commerce and Shopping, Consumer Goods","New York, New York, United States",3/1/13,8/1/13,1300000,Seed,1300000,Operating
860,860,LoveThatFit,Commerce and Shopping,"Charlottesville, Virginia, United States",1/1/12,8/5/13,67000,Seed,1050000,Operating
868,868,Carmenta Bioscience,"Biotechnology, Science and Engineering","Palo Alto, California, United States",4/9/12,8/7/13,2000000,Seed,2000000,Was Acquired
878,878,NearWoo,"Sales and Marketing, Design, Mobile, Advertising","Santa Monica, California, United States",1/5/12,8/13/13,1200000,Seed,1200000,Operating
879,879,Luxury Watches NYC,"Hardware, Consumer Electronics, Internet Services","New York, New York, United States",1/19/13,8/14/13,2500000,Seed,2500000,Operating
887,887,HeartThis,"Commerce and Shopping, Community and Lifestyle","San Francisco, California, United States",6/1/13,8/21/13,2000000,Seed,2000000,Was Acquired
889,889,Cluster Labs,"Apps, Media and Entertainment, Software, Content and Publishing, Mobile","San Francisco, California, United States",1/1/13,8/22/13,1600000,Seed,1600000,Operating
895,895,Main Street Genome,"Data and Analytics, Financial Services","Washington, District of Columbia, United States",1/1/13,8/23/13,2250000,Seed,2250000,Was Acquired
906,906,Sqwiggle,"Media and Entertainment, Software, Video, Content and Publishing","San Francisco, California, United States",2/1/13,8/29/13,1100000,Seed,1100000,Closed
908,908,AGI Innovations Inc.,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Los Angeles, California, United States",8/29/13,8/29/13,4000000,Seed,4000000,Operating
928,928,Xwalker,"Software, Payments, Internet Services, Financial Services, Mobile","Santa Barbara, California, United States",4/23/13,9/1/13,1400000,Seed,1400000,Operating
941,941,eGood,"Platforms, Apps, Software, Sales and Marketing, Payments, Financial Services, Mobile","Glendora, California, United States",3/12/12,9/4/13,3000000,Seed,3000000,Operating
946,946,Mitro,"Information Technology, Software, Internet Services, Privacy and Security, Messaging and Telecommunications","New York, New York, United States",1/1/12,9/6/13,1200000,Seed,2400000,Was Acquired
957,957,OpenROV,"Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","Berkeley, California, United States",1/1/12,9/11/13,1300000,Seed,1300000,Operating
959,959,Covaron Advanced Materials,"Manufacturing, Science and Engineering, Data and Analytics","Ann Arbor, Michigan, United States",1/1/13,9/11/13,550000,Seed,1100000,Operating
960,960,Temnos,"Media and Entertainment, Software","San Jose, California, United States",9/1/13,9/12/13,1500000,Seed,1500000,Operating
966,966,Veristorm,"Data and Analytics, Software","Santa Clara, California, United States",7/9/13,9/15/13,1500000,Seed,1500000,Operating
968,968,PushPage,"Community and Lifestyle, Sports, Internet Services","Cambridge, Massachusetts, United States",1/1/12,9/16/13,1700000,Seed,1700000,Operating
973,973,Distill,"Software, Professional Services","San Francisco, California, United States",10/9/12,9/17/13,1300000,Seed,1300000,Was Acquired
974,974,Nuiku,"Software, Sales and Marketing, Mobile","Redmond, Washington, United States",1/1/13,9/17/13,1600000,Seed,1600000,Was Acquired
977,977,Buttercoin,"Software, Payments, Financial Services","Palo Alto, California, United States",1/1/13,9/18/13,250000,Seed,1250000,Closed
982,982,Upfront Media Group,"Media and Entertainment, Internet Services","New York, New York, United States",8/1/12,9/20/13,1231189,Seed,1231189,Operating
994,994,HireArt,"Software, Professional Services","New York, New York, United States",1/1/12,9/30/13,1400000,Seed,1400000,Operating
1000,1000,Sphere,"Media and Entertainment, Content and Publishing, Mobile","San Francisco, California, United States",1/1/12,10/1/13,525000,Seed,2275000,Operating
1005,1005,Sparks,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","California City, California, United States",10/1/13,10/1/13,2300000,Seed,2300000,Operating
1009,1009,Leo,"Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",9/1/13,10/1/13,1500000,Seed,1500000,Was Acquired
1012,1012,Unpakt,"Commerce and Shopping, Transportation","New York, New York, United States",1/1/12,10/2/13,3000000,Seed,3000000,Operating
1014,1014,Koality,"Data and Analytics, Software","San Francisco, California, United States",8/24/12,10/3/13,1800000,Seed,1800000,Was Acquired
1016,1016,Loom,"Hardware, Media and Entertainment, Software, Internet Services, Video, Content and Publishing, Mobile","San Francisco, California, United States",1/1/13,10/4/13,1400000,Seed,1400000,Was Acquired
1017,1017,Lumaqco,Financial Services,"Englewood, Colorado, United States",1/1/13,10/4/13,2000000,Seed,2000000,Operating
1021,1021,Luminate Health,"Information Technology, Data and Analytics, Health Care","San Mateo, California, United States",1/1/13,10/8/13,1000000,Seed,1020000,Operating
1029,1029,Shopventory,"Data and Analytics, Sales and Marketing, Financial Services","San Diego, California, United States",5/8/13,10/11/13,1000000,Seed,2030000,Operating
1037,1037,Keepy,"Media and Entertainment, Information Technology, Community and Lifestyle, Internet Services, Content and Publishing, Financial Services, Messaging and Telecommunications, Mobile","Palo Alto, California, United States",1/14/13,10/15/13,1100000,Seed,1100000,Operating
1039,1039,Tastemaker,"Real Estate, Food and Beverage, Internet Services, Design","San Francisco, California, United States",1/1/12,10/16/13,300000,Seed,3220985,Operating
1040,1040,Rise,"Health Care, Mobile","San Francisco, California, United States",1/1/13,10/16/13,2300000,Seed,2300000,Was Acquired
1044,1044,Alminder,"Media and Entertainment, Events, Mobile","Palo Alto, California, United States",4/1/12,10/22/13,1525000,Seed,1525000,Closed
1047,1047,Qlika,"Data and Analytics, Sales and Marketing, Advertising","Palo Alto, California, United States",1/1/12,10/23/13,1700000,Seed,1720000,Was Acquired
1052,1052,Departing,Financial Services,"Irving, Texas, United States",10/23/13,10/23/13,1250000,Seed,1250000,Operating
1053,1053,Kyron,"Data and Analytics, Health Care","San Jose, California, United States",5/16/13,10/24/13,3000000,Seed,3000000,Operating
1059,1059,Tactics Cloud,"Apps, Software, Internet Services","New York, New York, United States",1/1/13,10/29/13,1500000,Seed,1500000,Operating
1073,1073,Knozen,"Media and Entertainment, Data and Analytics, Internet Services, Mobile","New York, New York, United States",1/1/13,11/1/13,2250000,Seed,2250000,Closed
1076,1076,Spiderbook,"Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",1/1/13,11/1/13,1700000,Seed,1700000,Was Acquired
1084,1084,Tylr Mobile,"Apps, Information Technology, Software, Mobile","San Mateo, California, United States",1/1/12,11/4/13,1500000,Seed,1528000,Closed
1091,1091,Synker,"Information Technology, Software, Internet Services, Mobile","Brooklyn, New York, United States",3/5/13,11/9/13,1400000,Seed,1400000,Closed
1101,1101,MdotLabs,"Data and Analytics, Sales and Marketing, Advertising","Madison, Wisconsin, United States",1/1/13,11/13/13,1250000,Seed,1250000,Was Acquired
1102,1102,Seamless Toy Company,"Gaming, Consumer Goods, Education","Boulder, Colorado, United States",10/31/12,11/13/13,2600000,Seed,3430000,Operating
1113,1113,Stratics Networks Inc,Hardware,"Huntsville, Alabama, United States",12/15/13,11/20/13,3000000,Seed,3000000,Operating
1114,1114,Homer,"Platforms, Apps, Software, Education, Mobile","New York, New York, United States",1/30/13,11/20/13,3440000,Seed,3440000,Operating
1117,1117,Sift Shopping,Commerce and Shopping,"San Francisco, California, United States",1/1/12,11/22/13,2000000,Seed,2540000,Operating
1119,1119,Prompt.ly,"Information Technology, Software, Sales and Marketing, Payments, Privacy and Security, Financial Services, Mobile","San Francisco, California, United States",1/1/13,11/25/13,1500000,Seed,1500000,Was Acquired
1125,1125,Wire,"Information Technology, Internet Services, Messaging and Telecommunications","Seattle, Washington, United States",2/1/13,11/26/13,1800000,Seed,1800000,Closed
1128,1128,Transparentrees,"Media and Entertainment, Internet Services","Chicago, Illinois, United States",8/20/13,11/29/13,1091000,Seed,1091000,Operating
1129,1129,IMAESTRI,"Commerce and Shopping, Media and Entertainment","New York, New York, United States",1/1/13,11/30/13,1950000,Seed,1950000,Operating
1154,1154,plug.dj,"Media and Entertainment, Music and Audio, Internet Services, Video","Beverly Hills, California, United States",2/1/12,12/6/13,1250000,Seed,1250000,Was Acquired
1157,1157,TheLocker,"Commerce and Shopping, Sports","Weymouth, Massachusetts, United States",9/1/13,12/6/13,1125000,Seed,1125000,Operating
1158,1158,Independent Artist Competition Assoc.,"Media and Entertainment, Music and Audio","Chesapeake, Virginia, United States",1/1/13,12/8/13,5000000,Seed,5000000,Operating
1172,1172,FlyCleaners,"Apps, Travel and Tourism, Software, Administrative Services","New York, New York, United States",1/1/13,12/17/13,2000000,Seed,2000000,Operating
1176,1176,ResolutionTube,"Hardware, Software, Mobile","Seattle, Washington, United States",1/1/12,12/19/13,1900000,Seed,2018000,Operating
1186,1186,Codefied,"Apps, Consumer Electronics, Real Estate, Software, Mobile","Carlsbad, California, United States",1/1/13,12/26/13,1500000,Seed,1500000,Operating
1188,1188,atVenu,Software,"Sausalito, California, United States",1/1/12,12/30/13,1100000,Seed,1100000,Operating
1189,1189,Fair Winds Brewing,"Travel and Tourism, Food and Beverage","Falls Church, Virginia, United States",1/1/13,12/30/13,1400000,Seed,1400000,Operating
1191,1191,PenBlade,Health Care,"Salt Lake City, Utah, United States",1/1/13,12/30/13,1115155,Seed,1115155,Operating
1192,1192,SnowGate,"Sports, Privacy and Security","Boulder, Colorado, United States",2/1/12,12/31/13,650000,Seed,1060000,Operating
1197,1197,Aurfy,"Commerce and Shopping, Payments, Financial Services","Palo Alto, California, United States",1/1/13,1/1/14,1250000,Seed,1250000,Operating
1203,1203,mPath,"Financial Services, Mobile","Palo Alto, California, United States",1/1/13,1/1/14,3650000,Seed,3650000,Operating
1213,1213,CharacTour,,"Chicago, Illinois, United States",11/26/13,1/1/14,1100000,Seed,1100000,Operating
1223,1223,FableLabs,"Hardware, Consumer Electronics, Software, Mobile","San Francisco, California, United States",1/1/14,1/1/14,3000000,Seed,3000000,Operating
1224,1224,DataClover,"Information Technology, Data and Analytics, Software, Advertising","Atlanta, Georgia, United States",1/1/14,1/1/14,2000000,Seed,6900000,Operating
1230,1230,GlamorSky Inc,"Hardware, Consumer Electronics, Internet Services","San Jose, California, United States",8/5/14,1/1/14,1200000,Seed,1200000,Operating
1232,1232,AIRVEND,Software,"Provo, Utah, United States",1/1/12,1/2/14,1200000,Seed,1200000,Operating
1234,1234,LawPal,Professional Services,"San Francisco, California, United States",1/1/13,1/2/14,950000,Seed,1350000,Operating
1238,1238,Day 6 Sports Group,"Commerce and Shopping, Sports, Mobile","Manhattan Beach, California, United States",1/5/14,1/5/14,3500000,Seed,3500000,Operating
1246,1246,REPP,"Information Technology, Internet Services, Privacy and Security","Cincinnati, Ohio, United States",6/2/12,1/7/14,250000,Seed,1384222,Operating
1251,1251,Shelf,"Commerce and Shopping, Data and Analytics","San Francisco, California, United States",1/1/13,1/8/14,1200000,Seed,1200000,Operating
1268,1268,Inbot,"Apps, Science and Engineering, Information Technology, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence","San Francisco, California, United States",1/1/13,1/14/14,2600000,Seed,2600000,Operating
1269,1269,Linko Inc.,Software,"San Francisco, California, United States",1/1/13,1/14/14,2600000,Seed,2600000,Operating
1270,1270,SpiritShop.com (ACQUIRED),"Commerce and Shopping, Clothing and Apparel, Design","Detroit, Michigan, United States",1/1/13,1/14/14,1250000,Seed,1250000,Operating
1272,1272,Sans Mucho Gusto,,"New York, New York, United States",3/1/12,1/15/14,2000000,Seed,2000000,Operating
1279,1279,Strongarm,Privacy and Security,"Wakefield, Massachusetts, United States",1/1/14,1/15/14,1500000,Seed,1500000,Operating
1280,1280,Evocalize,"Media and Entertainment, Sales and Marketing, Internet Services, Advertising","Seattle, Washington, United States",1/1/12,1/16/14,3000000,Seed,3500000,Operating
1283,1283,Mindie,"Media and Entertainment, Music and Audio, Software, Video","San Francisco, California, United States",10/1/13,1/16/14,1200000,Seed,1200000,Was Acquired
1289,1289,Change Collective,"Software, Health Care, Education, Mobile","Boston, Massachusetts, United States",1/1/13,1/21/14,1400000,Seed,1400000,Operating
1303,1303,Next Gen Capital Markets,"Commerce and Shopping, Financial Services","Houston, Texas, United States",12/1/13,1/27/14,1200000,Seed,1200000,Operating
1308,1308,iDialogs,"Information Technology, Health Care","New York, New York, United States",12/1/12,1/30/14,1000000,Seed,2000000,Operating
1317,1317,Dragonfly Systems,"Natural Resources, Energy, Sustainability","Los Gatos, California, United States",1/1/13,2/1/14,1100000,Seed,1100000,Was Acquired
1319,1319,"Nectar Online Media, Inc. (nectarOM)","Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing","Dallas, Texas, United States",8/1/12,2/1/14,1000000,Seed,1300000,Operating
1326,1326,FUTR CORP,"Software, Administrative Services, Professional Services, Financial Services","Bryan, Texas, United States",2/1/14,2/1/14,4850000,Seed,4850000,Operating
1332,1332,TradeYa,"Commerce and Shopping, Consumer Goods, Financial Services, Lending and Investments","Venice, California, United States",1/1/12,2/3/14,1100000,Seed,1100000,Operating
1339,1339,PetroDE,"Natural Resources, Energy, Navigation and Mapping, Data and Analytics, Software, Internet Services","Broomfield, Colorado, United States",1/1/14,2/4/14,2000000,Seed,2000000,Operating
1340,1340,Celery,"Commerce and Shopping, Financial Services, Mobile","San Francisco, California, United States",2/1/12,2/5/14,2300000,Seed,2300000,Was Acquired
